ASSETID;PRICE;UNITPRICE;CONSTRUCTEDAREA;ROOMNUMBER;BATHNUMBER;HASTERRACE;HASLIFT;HASAIRCONDITIONING;HASPARKINGSPACE;ISPARKINGSPACEINCLUDEDINPRICE;PARKINGSPACEPRICE;HASNORTHORIENTATION;HASSOUTHORIENTATION;HASEASTORIENTATION;HASWESTORIENTATION;HASBOXROOM;HASWARDROBE;HASSWIMMINGPOOL;HASDOORMAN;HASGARDEN;ISDUPLEX;ISSTUDIO;ISINTOPFLOOR;CONSTRUCTIONYEAR;FLOORCLEAN;CADCONSTRUCTIONYEAR;CADMAXBUILDINGFLOOR;CADDWELLINGCOUNT;CADASTRALQUALITYID;BUILTTYPEID_1;BUILTTYPEID_2;BUILTTYPEID_3;DISTANCE_TO_CITY_CENTER;DISTANCE_TO_METRO;DISTANCE_TO_CASTELLANA;alq_mediana_eur_m2_barrio;dist_centro_educativo_m;dist_parque_m;dist_espacio_deporte_m;dist_centro_medico_m;delitos_per_10k_barrio;indice_vulnerabilidad
A2471165766872644919;129000.0;2804.34782608696;46;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;0;1970;12;49;6;0;0;1;6.824168878840479;0.24324850918036905;1.6541209127610992;10.079483329155362;65.9;589.8;66.3;320.2;68.8;0.0075
A2471195230706524961;163000.0;2173.33333333333;75;2;2;1;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;;4;1993;8;64;4;1;0;0;9.127435423046023;1.4514400332194193;6.175095262822873;7.8350824501419;58.6;1166.8;282.2;962.2;63.81;0.0091
A2471493658692421558;204000.0;4857.14285714286;42;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;1;2000;6;19;4;0;0;1;0.28589067877963914;0.30947978718195046;0.6180240968934314;12.702402548219725;314.6;694.9;580.5;277.2;449.72;0.0078
A2471528214521672591;137000.0;2283.33333333333;60;2;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1962;3;1962;5;11;7;0;1;0;1.9833136217683212;0.9460440450174306;2.802069767409196;11.30408121352357;486.4;362.3;87.7;686.8;258.68;0.0066
A2471664870906652362;599000.0;3565.47619047619;168;4;3;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;;6;1970;9;36;3;0;1;0;2.417919025669644;0.2689018122954097;1.6717685315630337;13.496693019008978;150.8;282.1;391.3;263.7;124.21;0.0063
A2471696815685597339;267000.0;3814.28571428571;70;0;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1;1;0;1;0;2008;0;2008;7;1;3;0;0;1;10.675096869991748;1.1249914432735864;3.487219781390279;11.0550212703383;199.9;2564.4;1423.4;1309.9;25.44;0.0063
A2471798236830541186;377000.0;3556.60377358491;106;2;2;0;1;1;1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;1991;3;1991;7;29;4;0;0;1;7.91109962089946;0.21959382437788977;1.4417424541896537;11.42448652223742;29.1;621.9;74.9;340.9;33.52;0.0067
A2472132883071514408;484000.0;3585.18518518519;135;4;2;0;1;0;1;1;1;0;0;1;0;0;1;1;1;1;0;0;0;1997;3;1997;10;164;5;0;0;1;5.738778775645348;0.8323363166864967;4.705646008853085;8.772199855725395;400.7;404.3;377.2;975.7;43.61;0.0075
A2472718202509400624;211000.0;3102.94117647059;68;1;1;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;;1;1955;4;9;7;0;0;1;5.303092876206171;0.19670140467431305;3.6006198345807925;9.608842683528561;115.4;497.4;314.5;561.8;87.47;0.0085
A247283348528571900;192000.0;1882.35294117647;102;3;2;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1988;2;1988;7;29;5;0;0;1;5.503125836107897;0.2901682982292477;3.9625195100070285;8.13487763737029;135.2;546.1;145.9;565.2;91.6;0.0116
A2472967604836431839;161000.0;1463.63636363636;110;3;2;1;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;;4;1999;6;25;5;0;0;1;7.453127398263568;0.3218228635518016;4.568544934695439;7.2685592634852405;153.8;189.2;219.8;171.8;75.28;0.0098
A2473074983327896503;127000.0;4233.33333333333;30;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;1970;4;9;7;0;0;1;3.647561363214167;0.1310918922674048;1.993528729431838;11.95832775394372;195.5;277.1;190.9;107.0;79.93;0.0062
A2473116660311833809;545000.0;4360.0;125;4;2;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;1987;;1987;13;65;3;0;0;1;7.814600483296612;0.10333155907666441;1.6009950379247455;11.42448652223742;54.6;495.1;163.8;264.2;33.52;0.0067
A247347922037999024;594000.0;5303.57142857143;112;3;2;0;1;1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;1978;3;1978;5;8;4;0;0;1;1.7982294825585716;0.07862299829338462;1.243992288325125;13.352336944616736;213.3;245.1;580.9;244.9;104.72;0.0063
A2473494782449924533;696000.0;5568.0;125;3;2;1;1;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1965;7;1965;8;44;5;0;1;0;3.426452718838642;0.26781377064788675;1.843716863897102;11.95832775394372;278.8;68.1;136.9;260.1;79.93;0.0062
A2473668367317373528;390000.0;6000.0;65;2;1;1;1;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;;6;1988;7;28;5;0;0;1;2.2856033661105952;0.4012249538897844;1.4031245441687288;11.743407594323175;128.4;355.0;534.6;128.4;82.9;0.0055
A2474065921135149090;702000.0;8775.0;80;2;2;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1964;6;1964;7;35;3;0;0;1;2.7047018873975324;0.4582370426949289;0.2799010567644097;14.135447439227704;366.4;421.9;619.3;74.7;108.94;0.0058
A2474121719019749539;281000.0;2443.47826086957;115;3;2;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;2004;1;2004;7;47;4;0;0;1;7.803816133743255;0.4576757553323816;6.383450521032603;9.464481109353528;221.3;457.3;120.9;419.4;86.44;0.0092
