propertyCode,precio_anunciado,barrio_code,distrito_code,barrio_rescatado,sin_barrio,planta_imputada,ascensor_desde_descripcion,sin_descripcion,fuera_de_rango,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,precio_estimado_2018,indice_venta,precio_estimado,factor_renta_mensual,renta_mensual_estimada,tipologia_casa,superficie_fuera_de_dominio,a_reformar,ocupada,fuera_de_dominio,distrito,alquiler_distrito_eur_m2_2026,anunciado / estimado
111592318,1320000.0,092,09,False,False,False,False,False,False,180.0,4,2,763462.0,1.656751140660718,1264866.5393511131,0.002672415723312596,3380.249227653905,False,False,False,False,False,Moncloa-Aravaca,16.62527833062531,1.0435883620395008
112073089,3950000.0,092,09,False,False,False,False,False,False,507.0,5,5,,1.656751140660718,,0.002672415723312596,,False,True,False,False,True,Moncloa-Aravaca,16.62527833062531,
108826063,929000.0,035,03,False,False,False,False,False,False,149.0,3,2,621674.2,1.7929648066474984,1114639.9393886782,0.0021651669060346315,2413.3815089088134,False,False,False,False,False,Retiro,17.253540940727106,0.8334529987410176
111759857,695000.0,084,08,False,False,False,False,False,True,118.0,3,2,406628.7,1.7429699856269538,708741.5976073821,0.002544812508122545,1803.6144826180216,False,False,False,False,False,Fuencarral-El Pardo,14.689461217858332,0.9806112726362162
111737380,1525000.0,034,03,False,False,False,False,False,False,203.0,3,2,,1.7929648066474984,,0.0021651669060346315,,False,False,True,False,True,Retiro,17.253540940727106,
112088822,2200000.0,046,04,False,False,False,False,False,True,136.0,3,3,,1.8766123722225168,,0.0019512838033895418,,False,False,True,False,True,Salamanca,19.77461679945292,
112249991,3500000.0,014,01,False,False,False,False,False,False,194.0,3,3,1.700718e+06,1.558745921449614,2650987.2460359447,0.0025264030793100585,6697.462341596903,False,False,False,False,False,Centro,18.93916135071505,1.320262858764634
112463584,878000.0,054,05,False,False,False,False,False,False,100.0,3,2,553453.94,1.6700715368729793,924307.6679890268,0.0023384882833218804,2161.4826517769097,False,False,False,False,False,Chamartín,18.388855162033455,0.9499001581477992
111547508,3350000.0,074,07,False,False,False,False,False,False,275.0,4,5,1.8202955e+06,1.6853880807988142,3067904.339231718,0.002278740199336892,6990.956945527401,False,False,False,False,False,Chamberí,19.980022301161203,1.091950605226148
111601834,2590000.0,014,01,False,False,False,False,False,False,177.0,3,4,1.0493889e+06,1.558745921449614,1635730.6289208487,0.0025264030793100585,4132.514897827411,False,False,False,False,False,Centro,18.93916135071505,1.5833902931246802
