propertyCode,precio_anunciado,barrio_code,distrito_code,barrio_rescatado,sin_barrio,planta_imputada,ascensor_desde_descripcion,sin_descripcion,obra_nueva,fuera_de_rango,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,precio_estimado_2018,indice_venta,precio_estimado,factor_renta_mensual,renta_mensual_estimada,tipologia_casa,superficie_fuera_de_dominio,a_reformar,ocupada,fuera_de_dominio,distrito,alquiler_distrito_eur_m2_2026,anunciado / estimado
111271703,470000.0,065,06,False,False,False,False,False,False,False,85.0,2,2,285980.34,1.7497591043844554,500396.7101515587,0.002978418922071256,1490.3910300576083,False,False,False,False,False,Tetuán,17.333396740317067,0.9392547761907702
111271664,3195000.0,087,08,False,False,True,True,False,False,False,538.0,6,6,,1.7429699856269538,,0.002544812508122545,,True,True,False,False,True,Fuencarral-El Pardo,14.689461217858332,
111270295,170000.0,102,10,False,False,False,False,False,False,False,51.0,0,0,,1.7849419266048585,,0.0033382982791760833,,False,False,False,True,True,Latina,12.533999733511337,
111249002,1660000.0,045,04,False,False,False,False,False,False,False,111.0,2,2,698017.9,1.8766123722225168,1309908.9802574702,0.0019512838033895418,2556.0041770909124,False,False,False,False,False,Salamanca,19.77461679945292,1.267263622907385
111270203,300000.0,116,11,False,False,False,False,False,False,False,100.0,3,2,198024.42,1.7981544007307437,356078.4856466926,0.0035925100380566725,1279.215534021762,False,False,False,False,False,Carabanchel,12.78708937513325,0.8425108847987668
111269341,250000.0,133,13,False,False,False,False,False,False,False,66.0,3,1,100882.7,1.9202233418203836,193717.32132656116,0.0039677952095912425,768.6306595743768,False,False,False,False,False,Puente de Vallecas,12.472694485501155,1.2905402484817539
111264059,1200000.0,159,15,False,False,False,False,False,False,False,188.0,3,2,715456.0,1.7410339116420641,1245633.1582877846,0.002871857299515261,3577.2806781470226,False,False,False,False,False,Ciudad Lineal,14.266652704537027,0.9633654916905787
111268562,1490000.0,072,07,False,False,False,False,False,False,False,160.0,3,4,1.0371138e+06,1.6853880807988142,1747939.2580193162,0.002278740199336892,3983.0994532477157,False,False,False,False,False,Chamberí,19.980022301161203,0.8524323675231135
111268636,359999.0,206,20,False,False,True,False,False,False,False,93.0,3,1,170918.03,1.6143479514531922,275921.1736148502,0.0037236887617743825,1027.444573325216,False,False,False,False,False,San Blas-Canillejas,13.614999673585043,1.3047168337378539
111157029,299980.0,073,07,False,False,False,False,False,False,False,140.0,4,1,,1.6853880807988142,,0.002278740199336892,,False,False,False,True,True,Chamberí,19.980022301161203,
111068338,399880.0,085,08,False,False,False,False,False,False,True,160.0,4,2,,1.7429699856269538,,0.002544812508122545,,False,False,False,True,True,Fuencarral-El Pardo,14.689461217858332,
111268056,399000.0,072,07,False,False,False,False,False,False,False,55.0,1,1,218594.97,1.6853880807988142,368417.35485383926,0.002278740199336892,839.5274366388082,False,False,False,False,False,Chamberí,19.980022301161203,1.083010869990893
111267826,147000.0,132,13,False,False,False,False,False,False,False,44.0,2,1,105033.76,1.9202233418203836,201688.27343067157,0.0039677952095912425,800.2577651489473,False,False,False,False,False,Puente de Vallecas,12.472694485501155,0.7288475303970999
111267986,780000.0,044,04,False,False,False,False,False,False,False,104.0,2,2,471994.97,1.8766123722225168,885751.5979830301,0.0019512838033895418,1728.3527469706914,False,False,False,False,False,Salamanca,19.77461679945292,0.8806080641301239
111252675,310000.0,207,20,False,False,False,False,False,False,False,71.0,3,1,126819.89,1.6143479514531922,204731.43063398666,0.0037236887617743825,762.3561274337677,False,False,False,False,False,San Blas-Canillejas,13.614999673585043,1.514178839272655
111267492,219900.0,175,17,False,False,False,False,False,False,False,75.0,2,1,128521.42,1.8762264489989775,241135.29098483076,0.003970041979091452,957.3172278502107,False,False,False,False,False,Villaverde,11.18548597247867,0.9119361960743995
111267262,115000.0,172,17,False,False,False,False,False,False,False,62.0,4,1,,1.8762264489989775,,0.003970041979091452,,False,False,False,True,True,Villaverde,11.18548597247867,
111266150,995000.0,156,15,False,False,False,False,False,False,False,131.0,3,2,557861.75,1.7410339116420641,971256.2247579873,0.002871857299515261,2789.3092787708606,False,False,False,False,False,Ciudad Lineal,14.266652704537027,1.0244464587580162
111265876,315000.0,193,19,False,False,False,False,False,False,False,79.0,2,1,207128.8,2.2581962284331665,467737.46790302446,0.00280125738018172,1310.2530339508576,False,False,False,False,False,Vicálvaro,11.870342778520444,0.673454708283726
111266260,230000.0,203,20,False,False,False,False,False,False,False,54.0,2,1,85744.13,1.6143479514531922,138420.86515498982,0.0037236887617743825,515.4362199727228,False,False,False,False,False,San Blas-Canillejas,13.614999673585043,1.661599208634255
111265262,2340000.0,042,04,False,False,False,False,False,False,False,132.0,3,3,936274.56,1.8766123722225168,1757024.427784724,0.0019512838033895418,3428.4533080961096,False,False,False,False,False,Salamanca,19.77461679945292,1.3317970786270161
111265246,1135000.0,074,07,False,False,False,False,False,False,False,101.0,1,2,671988.2,1.6853880807988142,1132560.8816500986,0.002278740199336892,2580.812009212512,False,False,False,False,False,Chamberí,19.980022301161203,1.002153631111069
110901040,890000.0,012,01,False,False,True,False,False,False,False,171.0,4,2,637997.3,1.558745921449614,994475.7087551898,0.0025264030793100585,2512.4464928981643,False,False,False,False,False,Centro,18.93916135071505,0.8949439309221895
111264771,240000.0,201,20,False,False,False,False,False,False,False,50.0,2,1,117150.055,1.6143479514531922,189120.95079739505,0.0037236887617743825,704.2275591003458,False,False,False,False,False,San Blas-Canillejas,13.614999673585043,1.269029152973705
111264757,179900.0,152,15,False,False,False,False,False,False,False,46.0,2,1,131025.3,1.7410339116420641,228119.48514234397,0.002871857299515261,655.1266085677037,False,False,False,False,False,Ciudad Lineal,14.266652704537027,0.7886218044361465
111264510,2899000.0,042,04,False,False,False,False,False,False,False,217.0,4,5,1.1889728e+06,1.8766123722225168,2231240.9728854294,0.0019512838033895418,4353.784371850462,False,False,False,False,False,Salamanca,19.77461679945292,1.2992769652535683
111264491,750000.0,011,01,False,False,False,False,False,False,False,111.0,2,2,606391.75,1.558745921449614,945210.667113194,0.0025264030793100585,2387.983139991488,False,False,False,False,False,Centro,18.93916135071505,0.7934739059712532
111237517,495000.0,071,07,False,False,False,False,False,False,False,62.0,2,1,316655.56,1.6853880807988142,533687.510756144,0.002278740199336892,1216.1351846440652,False,False,False,False,False,Chamberí,19.980022301161203,0.9275090573108402
111262948,1100000.0,012,01,False,False,False,False,False,False,False,159.0,5,3,738355.0,1.558745921449614,1150907.8448319298,0.0025264030793100585,2907.6571231854905,False,False,False,False,False,Centro,18.93916135071505,0.9557672275321366
111252618,385000.0,183,18,False,False,False,False,False,False,False,112.0,3,2,319756.03,1.6182350367229232,517440.4129722199,0.003663662094203605,1895.7268270153813,False,False,False,False,False,Villa de Vallecas,12.693274684369012,0.7440470252188626
111263921,255000.0,124,12,False,False,False,False,False,False,False,80.0,2,1,169064.1,2.1163779954207427,357803.5278282495,0.0033276079654937316,1190.629869283041,False,False,False,False,False,Usera,12.133975348497685,0.7126816259967214
111263462,480000.0,044,04,False,False,False,False,False,False,False,85.0,2,2,,1.8766123722225168,,0.0019512838033895418,,False,False,True,False,True,Salamanca,19.77461679945292,
111252762,695000.0,166,16,False,False,False,False,False,False,False,154.0,4,2,608233.56,1.6317102565250337,992460.9422940101,0.0027028857740617703,2682.5085622384195,False,False,False,False,False,Hortaleza,14.589315759435864,0.7002794471624766
111262996,799000.0,044,04,False,False,False,False,False,False,False,63.0,2,2,364929.88,1.8766123722225168,684831.9184186165,0.0019512838033895418,1336.3014304544345,False,False,False,False,False,Salamanca,19.77461679945292,1.1667096385416955
111261700,445000.0,152,15,False,False,False,False,False,False,False,89.0,3,2,217283.48,1.7410339116420641,378297.9147366236,0.002871857299515261,1086.4176278277741,False,False,False,False,False,Ciudad Lineal,14.266652704537027,1.176321577954812
111031103,630000.0,211,21,False,False,False,False,False,False,False,120.0,4,2,375345.6,1.4759360281054366,553986.0848062518,0.0028887854787011218,1600.3469571907883,False,False,False,False,False,Barajas,13.967886474398604,1.1372126796656505
106549678,850000.0,014,01,False,False,False,False,False,False,False,75.0,2,2,711952.75,1.558745921449614,1109753.4453273367,0.0025264030793100585,2803.68452154993,False,False,False,False,False,Centro,18.93916135071505,0.7659358964632735
111261741,190000.0,132,13,False,False,False,False,False,False,False,64.0,2,1,,1.9202233418203836,,0.0039677952095912425,,False,False,False,True,True,Puente de Vallecas,12.472694485501155,
106877532,850000.0,014,01,False,False,False,False,False,False,False,75.0,2,2,681388.7,1.558745921449614,1062111.8375625305,0.0025264030793100585,2683.322616989642,False,False,False,False,False,Centro,18.93916135071505,0.8002923702937802
111260071,875000.0,075,07,False,False,False,False,False,False,False,102.0,2,2,562405.56,1.6853880807988142,947871.6316124526,0.002278740199336892,2159.9531907663454,False,False,False,False,False,Chamberí,19.980022301161203,0.9231207800907719
111256359,2250000.0,042,04,False,False,False,False,False,False,False,161.0,3,3,949561.3,1.8766123722225168,1781958.5072213516,0.0019512838033895418,3477.1067734532294,False,False,False,False,False,Salamanca,19.77461679945292,1.2626556627900816
111217887,740000.0,041,04,False,False,False,False,False,False,True,54.0,1,1,429262.72,1.8766123722225168,805559.7289401245,0.0019512838033895418,1571.8756517437346,False,False,False,False,False,Salamanca,19.77461679945292,0.9186159305326974
110171522,169000.0,145,14,False,False,False,False,False,False,False,33.0,1,1,,1.8348473926211004,,0.002978326446711814,,False,False,False,True,True,Moratalaz,12.68696586656589,
111260153,360000.0,094,09,False,False,False,False,False,False,False,59.0,2,1,156774.27,1.656751140660718,259735.94340046516,0.002672415723312596,694.1224190528336,False,False,False,False,False,Moncloa-Aravaca,16.62527833062531,1.386023032803535
111261240,1390000.0,034,03,False,False,False,False,False,False,False,124.0,3,4,728234.56,1.7929648066474984,1305698.941546838,0.0021651669060346315,2827.0561374816602,False,False,False,False,False,Retiro,17.253540940727106,1.064563932596355
111260771,205000.0,203,20,False,False,False,False,False,False,False,54.0,2,1,91654.02,1.6143479514531922,147961.48497877098,0.0037236887617743825,550.9625187908986,False,False,False,False,False,San Blas-Canillejas,13.614999673585043,1.3854956918647627
111260610,610000.0,075,07,False,False,False,False,False,False,False,97.0,1,1,531485.56,1.6853880807988142,895759.4321541532,0.002278740199336892,2041.2030269848565,False,False,False,False,False,Chamberí,19.980022301161203,0.6809864100822817
111260533,395000.0,021,02,False,False,False,False,False,False,False,81.0,1,1,197436.84,1.7568265401631447,346862.2871060439,0.0026432108289031436,916.8301534168064,False,False,False,False,False,Arganzuela,17.153551573714722,1.1387804747975938
111260151,259680.0,171,17,False,False,False,False,False,False,False,84.0,3,1,118037.234,1.8762264489989775,221464.5811010663,0.003970041979091452,879.2236838531365,False,False,False,False,False,Villaverde,11.18548597247867,1.1725577006893664
111213422,1550000.0,051,05,False,False,False,False,False,False,False,182.0,4,3,,1.6700715368729793,,0.0023384882833218804,,False,False,True,False,True,Chamartín,18.388855162033455,
111210691,322000.0,166,16,False,False,False,False,False,False,False,88.0,3,1,242075.92,1.6317102565250337,394997.76458119025,0.0027028857740617703,1067.6338386726993,False,False,False,False,False,Hortaleza,14.589315759435864,0.8151944868382013
111213429,2180000.0,087,08,False,False,False,False,False,False,False,362.0,5,4,1.1398996e+06,1.7429699856269538,1986810.8330024201,0.002544812508122545,5056.061059097931,False,False,False,False,False,Fuencarral-El Pardo,14.689461217858332,1.0972358131879305
111213378,1580000.0,014,01,False,False,False,False,False,False,False,185.0,5,3,1.1783642e+06,1.558745921449614,1836770.4686695333,0.0025264030793100585,4640.422568032488,False,False,False,False,False,Centro,18.93916135071505,0.8602054676676475
111212557,720000.0,045,04,False,False,False,False,False,False,False,101.0,2,2,467134.47,1.8766123722225168,876630.3235478427,0.0019512838033895418,1710.554551899039,False,False,False,False,False,Salamanca,19.77461679945292,0.821326824614122
111199859,2250000.0,041,04,False,False,True,False,False,False,True,125.0,2,2,878546.6,1.8766123722225168,1648691.466049336,0.0019512838033895418,3217.064954488628,False,False,False,False,False,Salamanca,19.77461679945292,1.3647186549655315
111208884,950000.0,044,04,False,False,False,False,False,False,False,160.0,3,2,591767.06,1.8766123722225168,1110517.3909612754,0.0019512838033895418,2166.9345983651483,False,False,False,False,False,Salamanca,19.77461679945292,0.8554571119121962
111212402,4195000.0,035,03,False,False,False,False,False,False,False,220.0,3,3,1.5814158e+06,1.7929648066474984,2835422.7844280587,0.0021651669060346315,6139.1635774602,False,False,False,False,False,Retiro,17.253540940727106,1.4794971751791808
111212280,3485000.0,074,07,False,False,False,False,False,False,False,318.0,5,5,1.9230955e+06,1.6853880807988142,3241162.233937836,0.002278740199336892,7385.766675046711,False,False,False,False,False,Chamberí,19.980022301161203,1.0752315831367425
111212190,380000.0,134,13,False,False,False,False,False,True,False,86.0,2,2,191014.08,1.9202233418203836,366789.6914319273,0.0039677952095912425,1455.3463805910512,False,False,False,False,False,Puente de Vallecas,12.472694485501155,1.0360160301029735
111212187,379000.0,134,13,False,False,False,False,False,True,False,85.0,2,2,193762.33,1.9202233418203836,372066.9452310852,0.0039677952095912425,1476.2854429351469,False,False,False,False,False,Puente de Vallecas,12.472694485501155,1.018633890641935
111212109,1745000.0,074,07,False,False,False,False,False,False,False,149.0,3,2,1.0807938e+06,1.6853880807988142,1821556.9040518533,0.002278740199336892,4150.8549426426125,False,False,False,False,False,Chamberí,19.980022301161203,0.9579717197516252
111211628,1295000.0,011,01,False,False,False,False,False,False,False,120.0,2,2,542870.3,1.558745921449614,846196.8854854524,0.0025264030793100585,2137.834417193028,False,False,False,False,False,Centro,18.93916135071505,1.5303767033567786
32238552,495000.0,062,06,False,False,False,False,False,False,False,63.0,2,1,,1.7497591043844554,,0.002978418922071256,,False,False,False,True,True,Tetuán,17.333396740317067,
111210294,1195000.0,071,07,False,False,False,False,False,False,False,150.0,3,3,930854.25,1.6853880807988142,1568850.6579109195,0.002278740199336892,3575.003060937743,False,False,False,False,False,Chamberí,19.980022301161203,0.761704113756284
111211002,440000.0,206,20,False,False,False,False,False,False,False,95.0,2,2,,1.6143479514531922,,0.0037236887617743825,,False,False,True,False,True,San Blas-Canillejas,13.614999673585043,
111211009,1295000.0,082,08,False,False,False,False,False,False,False,200.0,4,3,672001.0,1.7429699856269538,1171277.5733112986,0.002544812508122545,2980.681819046014,False,False,False,False,False,Fuencarral-El Pardo,14.689461217858332,1.1056303215461796
111208017,349000.0,102,10,False,False,False,False,False,False,False,51.0,2,1,172590.06,1.7849419266048585,308063.2386716029,0.0033382982791760833,1028.406979534823,False,False,False,False,False,Latina,12.533999733511337,1.1328842789062408
111209776,250653.0,133,13,False,False,False,False,False,True,False,42.0,1,1,131594.56,1.9202233418203836,252690.95056914134,0.0039677952095912425,1002.6259431752965,False,False,False,False,False,Puente de Vallecas,12.472694485501155,0.9919350077058509
111209751,250723.0,133,13,False,False,False,False,False,True,False,43.0,1,1,134312.17,1.9202233418203836,257909.36752496622,0.0039677952095912425,1023.3315529742681,False,False,False,False,False,Puente de Vallecas,12.472694485501155,0.972136074025033
111209514,247071.0,133,13,False,False,False,False,False,True,False,43.0,1,1,136968.94,1.9202233418203836,263010.95089183724,0.0039677952095912425,1043.5735910186693,False,False,False,False,False,Puente de Vallecas,12.472694485501155,0.93939434522484
111209512,237415.0,133,13,False,False,False,False,False,True,False,43.0,1,1,141796.45,1.9202233418203836,272280.85907796485,0.0039677952095912425,1080.354688312937,False,False,False,False,False,Puente de Vallecas,12.472694485501155,0.8719489162916834
111209475,233821.0,133,13,False,False,False,False,False,True,False,42.0,1,1,137310.44,1.9202233418203836,263666.70716306893,0.0039677952095912425,1046.1754976103218,False,False,False,False,False,Puente de Vallecas,12.472694485501155,0.8868051735306484
111210620,399000.0,164,16,False,False,False,False,False,False,False,117.0,4,1,237329.9,1.6317102565250337,387253.6422082497,0.0027028857740617703,1046.7023604782848,False,False,False,False,False,Hortaleza,14.589315759435864,1.0303324656283892
111190096,1190000.0,085,08,False,False,False,False,False,False,False,200.0,5,3,623737.9,1.7429699856269538,1087156.3950237366,0.002544812508122545,2766.6091923418194,False,False,False,False,False,Fuencarral-El Pardo,14.689461217858332,1.0945987214415622
