fecha;cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;num_personas;num_personas_hombres;num_personas_mujeres
1 de enero de 2026;28079;Madrid;17; Villaverde;172;San Cristóbal;19.732;10.120;9.612
1 de enero de 2026;28079;Madrid;17; Villaverde;173;Butarque;23.193;11.194;11.999
1 de enero de 2026;28079;Madrid;17; Villaverde;174;Los Rosales;39.454;18.901;20.553
1 de enero de 2026;28079;Madrid;17; Villaverde;175;Ángeles;38.259;17.904;20.355
1 de enero de 2026;28079;Madrid;18; Villa de Vallecas;181;Casco Histórico de Vallecas;43.518;21.121;22.397
1 de enero de 2026;28079;Madrid;18; Villa de Vallecas;182;Santa Eugenia;23.919;11.396;12.523
1 de enero de 2026;28079;Madrid;18; Villa de Vallecas;183;Ensanche de Vallecas;60.129;29.163;30.966
1 de enero de 2026;28079;Madrid;19; Vicálvaro;191;Casco Histórico de Vicálvaro;37.777;18.151;19.626
1 de enero de 2026;28079;Madrid;19; Vicálvaro;192;Valdebernardo;17.260;8.208;9.052
1 de enero de 2026;28079;Madrid;19; Vicálvaro;193;Valderrivas;17.878;8.582;9.296
1 de enero de 2026;28079;Madrid;19; Vicálvaro;194;El Cañaveral;24.945;12.494;12.451
1 de enero de 2026;28079;Madrid;20; San Blas-Canillejas;201;Simancas;30.614;14.604;16.010
1 de enero de 2026;28079;Madrid;20; San Blas-Canillejas;202;Hellín;10.272;4.794;5.478
1 de enero de 2026;28079;Madrid;20; San Blas-Canillejas;203;Amposta;10.349;4.844;5.505
1 de enero de 2026;28079;Madrid;20; San Blas-Canillejas;204;Arcos;26.309;12.435;13.874
1 de enero de 2026;28079;Madrid;20; San Blas-Canillejas;205;Rosas;30.400;14.458;15.942
1 de enero de 2026;28079;Madrid;20; San Blas-Canillejas;206;Rejas;18.584;9.116;9.468
1 de enero de 2026;28079;Madrid;20; San Blas-Canillejas;207;Canillejas;30.418;14.302;16.116
1 de enero de 2026;28079;Madrid;20; San Blas-Canillejas;208;El Salvador;11.580;5.526;6.054
1 de enero de 2026;28079;Madrid;21; Barajas;211;Alameda de Osuna;20.023;9.519;10.504
1 de enero de 2026;28079;Madrid;21; Barajas;212;Aeropuerto;1.928;961;967
1 de enero de 2026;28079;Madrid;21; Barajas;213;Casco Histórico de Barajas;8.600;4.100;4.500
1 de enero de 2026;28079;Madrid;21; Barajas;214;Timón;12.401;5.891;6.510
1 de enero de 2026;28079;Madrid;21; Barajas;215;Corralejos;7.661;3.767;3.894
1 de enero de 2025;28079;Madrid;1; Centro;11;Palacio;24.001;11.693;12.308
1 de enero de 2025;28079;Madrid;1; Centro;12;Embajadores;49.533;26.200;23.333
1 de enero de 2025;28079;Madrid;1; Centro;13;Cortes;11.146;5.528;5.618
1 de enero de 2025;28079;Madrid;1; Centro;14;Justicia;18.897;9.544;9.353
1 de enero de 2025;28079;Madrid;1; Centro;15;Universidad;34.194;16.864;17.330
1 de enero de 2025;28079;Madrid;1; Centro;16;Sol;8.578;4.418;4.160
1 de enero de 2025;28079;Madrid;2; Arganzuela;21;Imperial;23.625;11.058;12.567
1 de enero de 2025;28079;Madrid;2; Arganzuela;22;Acacias;36.546;16.860;19.686
1 de enero de 2025;28079;Madrid;2; Arganzuela;23;Chopera;20.634;9.398;11.236
1 de enero de 2025;28079;Madrid;2; Arganzuela;24;Legazpi;19.991;9.733;10.258
1 de enero de 2025;28079;Madrid;2; Arganzuela;25;Delicias;29.679;13.956;15.723
1 de enero de 2025;28079;Madrid;2; Arganzuela;26;Palos de la Frontera;26.076;12.266;13.810
1 de enero de 2025;28079;Madrid;2; Arganzuela;27;Atocha;2.209;1089;1.120
1 de enero de 2025;28079;Madrid;3; Retiro;31;Pacífico;34.102;15.348;18.754
1 de enero de 2025;28079;Madrid;3; Retiro;32;Adelfas;19.142;8.887;10.255
1 de enero de 2025;28079;Madrid;3; Retiro;33;Estrella;22.908;10.522;12.386
1 de enero de 2025;28079;Madrid;3; Retiro;34;Ibiza;22.041;9.701;12.340
1 de enero de 2025;28079;Madrid;3; Retiro;35;Los Jerónimos;6.952;3.287;3.665
1 de enero de 2025;28079;Madrid;3; Retiro;36;Niño Jesús;15.302;6.940;8.362
1 de enero de 2025;28079;Madrid;4; Salamanca;41;Recoletos;15.630;7.030;8.600
1 de enero de 2025;28079;Madrid;4; Salamanca;42;Goya;30.569;13.260;17.309
1 de enero de 2025;28079;Madrid;4; Salamanca;43;Fuente del Berro;21.688;9.542;12.146
1 de enero de 2025;28079;Madrid;4; Salamanca;44;Guindalera;43.495;19.868;23.627
1 de enero de 2025;28079;Madrid;4; Salamanca;45;Lista;21.676;9.384;12.292
1 de enero de 2025;28079;Madrid;4; Salamanca;46;Castellana;17.738;7.788;9.950
1 de enero de 2025;28079;Madrid;5; Chamartín;51;El Viso;17.577;7.911;9.666
1 de enero de 2025;28079;Madrid;5; Chamartín;52;Prosperidad;37.329;16.779;20.550
1 de enero de 2025;28079;Madrid;5; Chamartín;53;Ciudad Jardín;19.180;8.578;10.602
1 de enero de 2025;28079;Madrid;5; Chamartín;54;Hispanoamérica;32.412;14.706;17.706
1 de enero de 2025;28079;Madrid;5; Chamartín;55;Nueva España;25.310;11.483;13.827
1 de enero de 2025;28079;Madrid;5; Chamartín;56;Castilla;17.846;8.363;9.483
1 de enero de 2025;28079;Madrid;6; Tetuán;61;Bellas Vistas;31.107;14.361;16.746
1 de enero de 2025;28079;Madrid;6; Tetuán;62;Cuatro Caminos;36.173;16.296;19.877
1 de enero de 2025;28079;Madrid;6; Tetuán;63;Castillejos;21.545;9.792;11.753
1 de enero de 2025;28079;Madrid;6; Tetuán;64;Almenara;24.615;11.492;13.123
1 de enero de 2025;28079;Madrid;6; Tetuán;65;Valdeacederas;28.631;13.409;15.222
1 de enero de 2025;28079;Madrid;6; Tetuán;66;Berruguete;27.408;12.386;15.022
1 de enero de 2025;28079;Madrid;7; Chamberí;71;Gaztambide;23.939;10.563;13.376
1 de enero de 2025;28079;Madrid;7; Chamberí;72;Arapiles;25.310;11.341;13.969
1 de enero de 2025;28079;Madrid;7; Chamberí;73;Trafalgar;25.585;11.543;14.042
1 de enero de 2025;28079;Madrid;7; Chamberí;74;Almagro;20.050;8.854;11.196
1 de enero de 2025;28079;Madrid;7; Chamberí;75;Ríos Rosas;28.385;12.491;15.894
1 de enero de 2025;28079;Madrid;7; Chamberí;76;Vallehermoso;20.538;8.974;11.564
1 de enero de 2025;28079;Madrid;8; Fuencarral-El Pardo;81;El Pardo;3.469;1.739;1.730
1 de enero de 2025;28079;Madrid;8; Fuencarral-El Pardo;82;Fuentelarreina;3.537;1.603;1.934
1 de enero de 2025;28079;Madrid;8; Fuencarral-El Pardo;83;Peñagrande;45.375;21.195;24.180
1 de enero de 2025;28079;Madrid;8; Fuencarral-El Pardo;84;Pilar;47.139;21.537;25.602
1 de enero de 2025;28079;Madrid;8; Fuencarral-El Pardo;85;La Paz;32.339;14.980;17.359
1 de enero de 2025;28079;Madrid;8; Fuencarral-El Pardo;86;Valverde;68.225;32.688;35.537
1 de enero de 2025;28079;Madrid;8; Fuencarral-El Pardo;87;Mirasierra;37.556;18.079;19.477
1 de enero de 2025;28079;Madrid;8; Fuencarral-El Pardo;88;El Goloso;19.855;9.801;10.054
1 de enero de 2025;28079;Madrid;9; Moncloa-Aravaca;91;Casa de Campo;13.370;6.381;6.989
1 de enero de 2025;28079;Madrid;9; Moncloa-Aravaca;92;Argüelles;25.304;11.599;13.705
1 de enero de 2025;28079;Madrid;9; Moncloa-Aravaca;93;Ciudad Universitaria;17.125;7.911;9.214
1 de enero de 2025;28079;Madrid;9; Moncloa-Aravaca;94;Valdezarza;31.918;14.760;17.158
1 de enero de 2025;28079;Madrid;9; Moncloa-Aravaca;95;Valdemarín;7.647;3.579;4.068
1 de enero de 2025;28079;Madrid;9; Moncloa-Aravaca;96;El Plantío;3.138;1.466;1.672
1 de enero de 2025;28079;Madrid;9; Moncloa-Aravaca;97;Aravaca;28.476;13.278;15.198
1 de enero de 2025;28079;Madrid;10; Latina;101;Los Jerónimos;18.750;8.880;9.870
1 de enero de 2025;28079;Madrid;10; Latina;102;Puerta del Ángel;46.182;21.606;24.576
1 de enero de 2025;28079;Madrid;10; Latina;103;Lucero;38.794;18.231;20.563
1 de enero de 2025;28079;Madrid;10; Latina;104;Aluche;69.757;32.017;37.740
1 de enero de 2025;28079;Madrid;10; Latina;105;Campamento;21.113;9.757;11.356
1 de enero de 2025;28079;Madrid;10; Latina;106;Cuatro Vientos;6.664;3.323;3.341
1 de enero de 2025;28079;Madrid;10; Latina;107;Águilas;52.901;24.388;28.513
1 de enero de 2025;28079;Madrid;11; Carabanchel;111;Comillas;23.611;10.969;12.642
1 de enero de 2025;28079;Madrid;11; Carabanchel;112;Opañel;36.296;16.863;19.433
1 de enero de 2025;28079;Madrid;11; Carabanchel;113;San Isidro;43.169;20.514;22.655
1 de enero de 2025;28079;Madrid;11; Carabanchel;114;Vista Alegre;51.175;23.630;27.545
1 de enero de 2025;28079;Madrid;11; Carabanchel;115;Puerta Bonita;39.827;18.936;20.891
1 de enero de 2025;28079;Madrid;11; Carabanchel;116;Buenavista;52.528;25.412;27.116
1 de enero de 2025;28079;Madrid;11; Carabanchel;117;Abrantes;34.079;16.060;18.019
1 de enero de 2025;28079;Madrid;12; Usera;121;Orcasitas;23.732;11.178;12.554
1 de enero de 2025;28079;Madrid;12; Usera;122;Orcasur;15.183;7.330;7.853
1 de enero de 2025;28079;Madrid;12; Usera;123;San Fermín;24.928;11.915;13.013
1 de enero de 2025;28079;Madrid;12; Usera;124;Almendrales;24.995;11.922;13.073
1 de enero de 2025;28079;Madrid;12; Usera;125;Moscardó;29.168;13.902;15.266
1 de enero de 2025;28079;Madrid;12; Usera;126;Zofío;15.642;7.396;8.246
1 de enero de 2025;28079;Madrid;12; Usera;127;Pradolongo;20.332;9.821;10.511
1 de enero de 2025;28079;Madrid;13; Puente de Vallecas;131;Entrevías;38.035;18.365;19.670
1 de enero de 2025;28079;Madrid;13; Puente de Vallecas;132;San Diego;51.270;24.876;26.394
1 de enero de 2025;28079;Madrid;13; Puente de Vallecas;133;Palomeras Bajas;42.718;20.071;22.647
1 de enero de 2025;28079;Madrid;13; Puente de Vallecas;134;Palomeras Sureste;45.377;21.614;23.763
1 de enero de 2025;28079;Madrid;13; Puente de Vallecas;135;Portazgo;30.581;14.481;16.100
1 de enero de 2025;28079;Madrid;13; Puente de Vallecas;136;Numancia;52.197;25.059;27.138
1 de enero de 2025;28079;Madrid;14; Moratalaz;141;Pavones;9.329;4.330;4.999
1 de enero de 2025;28079;Madrid;14; Moratalaz;142;Horcajo;6.477;3.088;3.389
1 de enero de 2025;28079;Madrid;14; Moratalaz;143;Marroquina;26.586;12.221;14.365
1 de enero de 2025;28079;Madrid;14; Moratalaz;144;Media Legua;17.854;8.085;9.769
1 de enero de 2025;28079;Madrid;14; Moratalaz;145;Fontarrón;18.358;8.404;9.954
1 de enero de 2025;28079;Madrid;14; Moratalaz;146;Vinateros;17.471;7.811;9.660
1 de enero de 2025;28079;Madrid;15; Ciudad Lineal;151;Ventas;53.178;24.454;28.724
1 de enero de 2025;28079;Madrid;15; Ciudad Lineal;152;Pueblo Nuevo;67.074;31.326;35.748
1 de enero de 2025;28079;Madrid;15; Ciudad Lineal;153;Quintana;27.322;12.436;14.886
1 de enero de 2025;28079;Madrid;15; Ciudad Lineal;154;La Concepción;22.713;10.393;12.320
1 de enero de 2025;28079;Madrid;15; Ciudad Lineal;155;San Pascual;19.320;8.842;10.478
1 de enero de 2025;28079;Madrid;15; Ciudad Lineal;156;San Juan Bautista;13.359;6.239;7.120
1 de enero de 2025;28079;Madrid;15; Ciudad Lineal;157;Colina;6.942;3.143;3.799
1 de enero de 2025;28079;Madrid;15; Ciudad Lineal;158;Atalaya;1.696;731;965
1 de enero de 2025;28079;Madrid;15; Ciudad Lineal;159;Costillares;22.471;10.553;11.918
1 de enero de 2025;28079;Madrid;16; Hortaleza;161;Palomas;7.133;3.492;3.641
1 de enero de 2025;28079;Madrid;16; Hortaleza;162;Piovera;15.628;7.551;8.077
1 de enero de 2025;28079;Madrid;16; Hortaleza;163;Canillas;40.800;18.955;21.845
1 de enero de 2025;28079;Madrid;16; Hortaleza;164;Pinar del Rey;54.126;24.961;29.165
1 de enero de 2025;28079;Madrid;16; Hortaleza;165;Apóstol Santiago;16.025;7.665;8.360
1 de enero de 2025;28079;Madrid;16; Hortaleza;166;Valdefuentes;75.829;37.051;38.778
1 de enero de 2025;28079;Madrid;17; Villaverde;171;Villaverde Alto, Casco Histórico de Villaverde;52.036;25.005;27.031
1 de enero de 2025;28079;Madrid;17; Villaverde;172;San Cristóbal;19.918;10.080;9.838
1 de enero de 2025;28079;Madrid;17; Villaverde;173;Butarque;23.242;11.231;12.011
1 de enero de 2025;28079;Madrid;17; Villaverde;174;Los Rosales;40.185;19.295;20.890
1 de enero de 2025;28079;Madrid;17; Villaverde;175;Ángeles;37.802;17.691;20.111
1 de enero de 2025;28079;Madrid;18; Villa de Vallecas;181;Casco Histórico de Vallecas;43.654;21.112;22.542
1 de enero de 2025;28079;Madrid;18; Villa de Vallecas;182;Santa Eugenia;24.185;11.536;12.649
1 de enero de 2025;28079;Madrid;18; Villa de Vallecas;183;Ensanche de Vallecas;58.680;28.453;30.227
1 de enero de 2025;28079;Madrid;19; Vicálvaro;191;Casco Histórico de Vicálvaro;38.064;18.292;19.772
1 de enero de 2025;28079;Madrid;19; Vicálvaro;192;Valdebernardo;17.695;8.413;9.282
1 de enero de 2025;28079;Madrid;19; Vicálvaro;193;Valderrivas;17.982;8.662;9.320
1 de enero de 2025;28079;Madrid;19; Vicálvaro;194;El Cañaveral;21.492;10.793;10.699
1 de enero de 2025;28079;Madrid;20; San Blas-Canillejas;201;Simancas;30.910;14.702;16.208
1 de enero de 2025;28079;Madrid;20; San Blas-Canillejas;202;Hellín;10.293;4.766;5.527
1 de enero de 2025;28079;Madrid;20; San Blas-Canillejas;203;Amposta;10.440;4.909;5.531
1 de enero de 2025;28079;Madrid;20; San Blas-Canillejas;204;Arcos;26.681;12.623;14.058
1 de enero de 2025;28079;Madrid;20; San Blas-Canillejas;205;Rosas;30.813;14.662;16.151
1 de enero de 2025;28079;Madrid;20; San Blas-Canillejas;206;Rejas;18.673;9.155;9.518
1 de enero de 2025;28079;Madrid;20; San Blas-Canillejas;207;Canillejas;30.681;14.359;16.322
1 de enero de 2025;28079;Madrid;20; San Blas-Canillejas;208;El Salvador;11.499;5.458;6.041
1 de enero de 2025;28079;Madrid;21; Barajas;211;Alameda de Osuna;20.061;9.553;10.508
1 de enero de 2025;28079;Madrid;21; Barajas;212;Aeropuerto;1.961;982;979
