Día de creación;Hora de creación;Distrito;Barrio;Origen;Incidentes;Descripcíon tipo de apertura
2026-05-01;1;MONCLOA - ARAVACA;CASA DE CAMPO;RADIO;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;1;SALAMANCA;GUINDALERA;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;1;SALAMANCA;CASTELLANA;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;1;FUENCARRAL - EL PARDO;PEÑAGRANDE;112;1;ALTERACIONES DE TRAFICO Y MOVILIDAD
2026-05-01;1;CHAMBERI;ALMAGRO;92;1;ANOMALIAS EN VIA PUBLICA
2026-05-01;1;CENTRO;EMBAJADORES;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;1;CENTRO;PALACIO;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;1;CENTRO;EMBAJADORES;92;1;INFORMACION AL CIUDADANO
2026-05-01;1;CHAMARTIN;NUEVA ESPAÑA;92;1;INFORMACION AL CIUDADANO
2026-05-01;1;CHAMBERI;GAZTAMBIDE;92;1;NORMAS DE CONVIVENCIA
2026-05-01;1;VILLAVERDE;BUTARQUE;112;1;OTROS DELITOS...
2026-05-01;1;PUENTE DE VALLECAS;NUMANCIA;112;1;REYERTAS / AGRESIONES
2026-05-01;1;SAN BLAS - CANILLEJAS;SIMANCAS;112;1;REYERTAS / AGRESIONES
2026-05-01;1;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;112;1;REYERTAS / AGRESIONES
2026-05-01;1;CENTRO;CORTES;92;1;RUIDOS MOLESTOS
2026-05-01;1;CIUDAD LINEAL;PUEBLO NUEVO;92;1;RUIDOS MOLESTOS
2026-05-01;1;CIUDAD LINEAL;QUINTANA;92;1;RUIDOS MOLESTOS
2026-05-01;1;MORATALAZ;FONTARRON;92;1;RUIDOS MOLESTOS
2026-05-01;1;MORATALAZ;MARROQUINA;92;1;RUIDOS MOLESTOS
2026-05-01;1;PUENTE DE VALLECAS;NUMANCIA;92;2;RUIDOS MOLESTOS
2026-05-01;1;PUENTE DE VALLECAS;PALOMERAS BAJAS;92;1;RUIDOS MOLESTOS
2026-05-01;1;PUENTE DE VALLECAS;SAN DIEGO;92;1;RUIDOS MOLESTOS
2026-05-01;1;SALAMANCA;LISTA;92;1;RUIDOS MOLESTOS
2026-05-01;1;HORTALEZA;PINAR DEL REY;112;1;SUCESOS: COLABORACIONES CON OTROS SERVICIOS
2026-05-01;1;CIUDAD LINEAL;VENTAS;112;1;ACTUACION DE BOMBEROS
2026-05-01;1;CENTRO;UNIVERSIDAD;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;1;PUENTE DE VALLECAS;NUMANCIA;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;1;CHAMARTIN;NUEVA ESPAÑA;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;1;SALAMANCA;GOYA;112;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;1;TETUAN;CUATRO CAMINOS;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;1;CARABANCHEL;VISTA ALEGRE;RADIO;1;ALTERACIONES DE TRAFICO Y MOVILIDAD
2026-05-01;1;TETUAN;BERRUGUETE;112;1;ANOMALIAS EN VIA PUBLICA
2026-05-01;1;USERA;ORCASUR;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;1;VILLAVERDE;LOS ROSALES;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;1;HORTALEZA;VALDEFUENTES;92;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-05-01;1;Desconocido;Desconocido;92;1;NOTA INFORMATIVA
2026-05-01;1;MORATALAZ;VINATEROS;112;1;OTROS DELITOS...
2026-05-01;1;ARGANZUELA;LEGAZPI;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;1;CARABANCHEL;SAN ISIDRO;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;1;CENTRO;EMBAJADORES;92;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;1;VILLAVERDE;SAN CRISTOBAL;112;1;REYERTAS / AGRESIONES
2026-05-01;1;ARGANZUELA;ACACIAS;92;1;RUIDOS MOLESTOS
2026-05-01;1;CARABANCHEL;OPAÑEL;92;2;RUIDOS MOLESTOS
