Día de creación;Hora de creación;Distrito;Barrio;Origen;Incidentes;Descripción tipo de apertura
2026-01-01;00;FUENCARRAL - EL PARDO;PILAR;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;HORTALEZA;PINAR DEL REY;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;HORTALEZA;VALDEFUENTES;092;2;NORMAS DE CONVIVENCIA
2026-01-01;00;LATINA;CAMPAMENTO;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;LATINA;LUCERO;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;MORATALAZ;VINATEROS;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;PUENTE DE VALLECAS;PORTAZGO;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;RETIRO;NIÑO JESUS;092;2;NORMAS DE CONVIVENCIA
2026-01-01;00;SAN BLAS - CANILLEJAS;CANILLEJAS;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;SAN BLAS - CANILLEJAS;SIMANCAS;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;TETUAN;ALMENARA;092;2;NORMAS DE CONVIVENCIA
2026-01-01;00;TETUAN;BERRUGUETE;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;TETUAN;CASTILLEJOS;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;TETUAN;CUATRO CAMINOS;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;USERA;ALMENDRALES;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;USERA;MOSCARDO;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;USERA;PRADOLONGO;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;VICALVARO;EL CAÑAVERAL;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;CARABANCHEL;SAN ISIDRO;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-01-01;00;FUENCARRAL - EL PARDO;PILAR;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-01-01;00;PUENTE DE VALLECAS;NUMANCIA;092;1;RESOLUCION CONFLICTOS PRIVADOS
2026-01-01;00;VILLAVERDE;SAN CRISTOBAL;112;1;RESOLUCION CONFLICTOS PRIVADOS
